Index,Product.Name,Product.Code,Sector.Group,Food
1,Paddy rice,p01.a,Agri,Agriculture
2,Wheat,p01.b,Agri,Agriculture
3,Cereal grains nec,p01.c,Agri,Agriculture
4,"Vegetables, fruit, nuts",p01.d,Agri,Agriculture
5,Oil seeds,p01.e,Agri,Agriculture
6,"Sugar cane, sugar beet",p01.f,Agri,Agriculture
7,Plant-based fibers,p01.g,Agri,Non-Food
8,Crops nec,p01.h,Agri,Agriculture
9,Cattle,p01.i,Agri,Agriculture
10,Pigs,p01.j,Agri,Agriculture
11,Poultry,p01.k,Agri,Agriculture
12,Meat animals nec,p01.l,Agri,Agriculture
13,Animal products nec,p01.m,Agri,Agriculture
14,Raw milk,p01.n,Agri,Agriculture
15,"Wool, silk-worm cocoons",p01.o,Agri,Non-Food
16,Manure (conventional treatment),p01.w.1,Agri,Non-Food
17,Manure (biogas treatment),p01.w.2,Agri,Non-Food
18,"Products of forestry, logging and related services",p02,Agri,Non-Food
19,Fish and other fishing products; services incidental of fishing,p05,Agri,Agriculture
20,Anthracite,p10.a,Mining,Non-Food
21,Coking Coal,p10.b,Mining,Non-Food
22,Other Bituminous Coal,p10.c,Mining,Non-Food
23,Sub-Bituminous Coal,p10.d,Mining,Non-Food
24,Patent Fuel,p10.e,Mining,Non-Food
25,Lignite/Brown Coal,p10.f,Mining,Non-Food
26,BKB/Peat Briquettes,p10.g,Mining,Non-Food
27,Peat,p10.h,Mining,Non-Food
28,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a,Mining,Non-Food
29,"Natural gas and services related to natural gas extraction, excluding surveying",p11.b,Mining,Non-Food
30,Natural Gas Liquids,p11.b.1,Mining,Non-Food
31,Other Hydrocarbons,p11.c,Mining,Non-Food
32,Uranium and thorium ores,p12,Mining,Non-Food
33,Iron ores,p13.1,Mining,Non-Food
34,Copper ores and concentrates,p13.20.11,Mining,Non-Food
35,Nickel ores and concentrates,p13.20.12,Mining,Non-Food
36,Aluminium ores and concentrates,p13.20.13,Mining,Non-Food
37,Precious metal ores and concentrates,p13.20.14,Mining,Non-Food
38,"Lead, zinc and tin ores and concentrates",p13.20.15,Mining,Non-Food
39,Other non-ferrous metal ores and concentrates,p13.20.16,Mining,Non-Food
40,Stone,p14.1,Mining,Non-Food
41,Sand and clay,p14.2,Mining,Non-Food
42,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3,Mining,Non-Food
43,Products of meat cattle,p15.a,M_bio_products,Food products
44,Products of meat pigs,p15.b,M_bio_products,Food products
45,Products of meat poultry,p15.c,M_bio_products,Food products
46,Meat products nec,p15.d,M_bio_products,Food products
47,products of Vegetable oils and fats,p15.e,M_bio_products,Food products
48,Dairy products,p15.f,M_bio_products,Food products
49,Processed rice,p15.g,M_bio_products,Food products
50,Sugar,p15.h,M_bio_products,Food products
51,Food products nec,p15.i,M_bio_products,Food products
52,Beverages,p15.j,M_bio_products,Food products
53,Fish products,p15.k,M_bio_products,Food products
54,Tobacco products,p16,M_bio_products,Non-Food
55,Textiles,p17,M_bio_products,Non-Food
56,Wearing apparel; furs,p18,M_bio_products,Non-Food
57,Leather and leather products,p19,M_bio_products,Non-Food
