product,source,value,country,indicator
Agriculture,AT,949195.981666582,NO,Global Warming Potential
 -   ,AT,118131567.016937,NO,Global Warming Potential
Food products,AT,11666022.8304055,NO,Global Warming Potential
Hotels and restaurants,AT,14156846.1684522,NO,Global Warming Potential
Education and health,AT,12442272.6687862,NO,Global Warming Potential
Food waste,AT,132887.347216888,NO,Global Warming Potential
Agriculture,BE,9644638.21205167,NO,Global Warming Potential
 -   ,BE,345399280.553146,NO,Global Warming Potential
Food products,BE,60673136.9995257,NO,Global Warming Potential
Hotels and restaurants,BE,37684586.8994196,NO,Global Warming Potential
Education and health,BE,38773912.8292163,NO,Global Warming Potential
Food waste,BE,1332527.54780126,NO,Global Warming Potential
Agriculture,BG,681359.578225382,NO,Global Warming Potential
 -   ,BG,43573860.5256032,NO,Global Warming Potential
Food products,BG,5171767.09044943,NO,Global Warming Potential
Hotels and restaurants,BG,6886444.67824685,NO,Global Warming Potential
Education and health,BG,5913141.29093288,NO,Global Warming Potential
Food waste,BG,76255.3511273311,NO,Global Warming Potential
Agriculture,CY,649132.338532157,NO,Global Warming Potential
 -   ,CY,84622423.0655188,NO,Global Warming Potential
Food products,CY,3382783.89476374,NO,Global Warming Potential
Hotels and restaurants,CY,5832831.68634424,NO,Global Warming Potential
Education and health,CY,6956726.47628607,NO,Global Warming Potential
Food waste,CY,222399.64096955,NO,Global Warming Potential
Agriculture,CZ,2247973.99741418,NO,Global Warming Potential
 -   ,CZ,339737054.380043,NO,Global Warming Potential
Food products,CZ,19172047.2881068,NO,Global Warming Potential
Hotels and restaurants,CZ,18472660.7872288,NO,Global Warming Potential
Education and health,CZ,30709527.9578937,NO,Global Warming Potential
Food waste,CZ,397552.721546595,NO,Global Warming Potential
Agriculture,DE,29452131.7984385,NO,Global Warming Potential
 -   ,DE,2063530615.65274,NO,Global Warming Potential
Food products,DE,338616546.181938,NO,Global Warming Potential
Hotels and restaurants,DE,48738121.224593,NO,Global Warming Potential
Education and health,DE,145439963.530853,NO,Global Warming Potential
Food waste,DE,1748042.1549408,NO,Global Warming Potential
Agriculture,DK,10307842.1479552,NO,Global Warming Potential
 -   ,DK,813411278.622687,NO,Global Warming Potential
Food products,DK,282770062.867254,NO,Global Warming Potential
Hotels and restaurants,DK,20696039.3178812,NO,Global Warming Potential
Education and health,DK,60750125.9712213,NO,Global Warming Potential
Food waste,DK,752201.292778372,NO,Global Warming Potential
Agriculture,EE,3582322.78682817,NO,Global Warming Potential
 -   ,EE,346665467.969493,NO,Global Warming Potential
Food products,EE,16837289.819595,NO,Global Warming Potential
Hotels and restaurants,EE,12124446.8876284,NO,Global Warming Potential
Education and health,EE,22502922.3931117,NO,Global Warming Potential
Food waste,EE,151805.637097988,NO,Global Warming Potential
Agriculture,ES,38497501.2350249,NO,Global Warming Potential
 -   ,ES,522332226.289077,NO,Global Warming Potential
Food products,ES,54765460.6618731,NO,Global Warming Potential
Hotels and restaurants,ES,22098090.2113603,NO,Global Warming Potential
Education and health,ES,37227466.3071592,NO,Global Warming Potential
Food waste,ES,511230.18444385,NO,Global Warming Potential
Agriculture,FI,4415902.32598925,NO,Global Warming Potential
 -   ,FI,208475635.119485,NO,Global Warming Potential
Food products,FI,17933368.6719739,NO,Global Warming Potential
Hotels and restaurants,FI,6668841.6633248,NO,Global Warming Potential
Education and health,FI,19433741.0124374,NO,Global Warming Potential
Food waste,FI,387845.315880099,NO,Global Warming Potential
Agriculture,FR,10422363.8281323,NO,Global Warming Potential
 -   ,FR,523615976.371603,NO,Global Warming Potential
Food products,FR,116472190.791374,NO,Global Warming Potential
Hotels and restaurants,FR,30577559.2907601,NO,Global Warming Potential
Education and health,FR,49928184.0546394,NO,Global Warming Potential
Food waste,FR,558839.619748852,NO,Global Warming Potential
Agriculture,GR,2723394.67395626,NO,Global Warming Potential
 -   ,GR,271491031.235462,NO,Global Warming Potential
Food products,GR,28172410.7229519,NO,Global Warming Potential
Hotels and restaurants,GR,25478790.7912385,NO,Global Warming Potential
Education and health,GR,25749043.058968,NO,Global Warming Potential
Food waste,GR,237877.270753015,NO,Global Warming Potential
Agriculture,HR,524354.018336288,NO,Global Warming Potential
 -   ,HR,92223367.1645556,NO,Global Warming Potential
Food products,HR,5231059.26741468,NO,Global Warming Potential
Hotels and restaurants,HR,12459528.9209594,NO,Global Warming Potential
Education and health,HR,9885980.58980946,NO,Global Warming Potential
Food waste,HR,251761.50145891,NO,Global Warming Potential
Agriculture,HU,1233026.11325777,NO,Global Warming Potential
 -   ,HU,154164539.349704,NO,Global Warming Potential
Food products,HU,12626159.6529674,NO,Global Warming Potential
Hotels and restaurants,HU,21173426.5048779,NO,Global Warming Potential
Education and health,HU,16245385.8673062,NO,Global Warming Potential
Food waste,HU,399222.642221709,NO,Global Warming Potential
Agriculture,IE,1808231.34619883,NO,Global Warming Potential
 -   ,IE,178197310.125909,NO,Global Warming Potential
Food products,IE,24378593.3480899,NO,Global Warming Potential
Hotels and restaurants,IE,14479895.7570553,NO,Global Warming Potential
Education and health,IE,18784017.3104076,NO,Global Warming Potential
Food waste,IE,702008.369593627,NO,Global Warming Potential
Agriculture,IT,20297977.9265745,NO,Global Warming Potential
 -   ,IT,517509525.175067,NO,Global Warming Potential
Food products,IT,88138856.998912,NO,Global Warming Potential
Hotels and restaurants,IT,25886941.0944417,NO,Global Warming Potential
Education and health,IT,41630332.4874623,NO,Global Warming Potential
Food waste,IT,827241.417849594,NO,Global Warming Potential
Agriculture,LT,1908300.80915614,NO,Global Warming Potential
 -   ,LT,153344283.944725,NO,Global Warming Potential
Food products,LT,21863632.5124886,NO,Global Warming Potential
Hotels and restaurants,LT,2425576.73326895,NO,Global Warming Potential
Education and health,LT,7668491.52454215,NO,Global Warming Potential
Food waste,LT,120288.070804859,NO,Global Warming Potential
Agriculture,LU,447570.21922359,NO,Global Warming Potential
 -   ,LU,71757028.0579577,NO,Global Warming Potential
Food products,LU,5570497.48271534,NO,Global Warming Potential
Hotels and restaurants,LU,1982515.19314741,NO,Global Warming Potential
Education and health,LU,6349476.84620789,NO,Global Warming Potential
Food waste,LU,273559.854973359,NO,Global Warming Potential
Agriculture,LV,1914412.52096062,NO,Global Warming Potential
 -   ,LV,137008043.797332,NO,Global Warming Potential
Food products,LV,14711533.2659584,NO,Global Warming Potential
Hotels and restaurants,LV,3156120.80930081,NO,Global Warming Potential
Education and health,LV,8251363.77605328,NO,Global Warming Potential
Food waste,LV,86443.6828975731,NO,Global Warming Potential
Agriculture,MT,62419.6572526604,NO,Global Warming Potential
 -   ,MT,13672483.7704448,NO,Global Warming Potential
Food products,MT,406307.105155311,NO,Global Warming Potential
Hotels and restaurants,MT,2636724.61730087,NO,Global Warming Potential
Education and health,MT,2595677.16597677,NO,Global Warming Potential
Food waste,MT,53985.3259349433,NO,Global Warming Potential
Agriculture,NL,61185086.5499537,NO,Global Warming Potential
 -   ,NL,461441155.390033,NO,Global Warming Potential
Food products,NL,89848641.1212421,NO,Global Warming Potential
Hotels and restaurants,NL,39045398.4568367,NO,Global Warming Potential
Education and health,NL,69205465.9491908,NO,Global Warming Potential
Food waste,NL,1419236.09364026,NO,Global Warming Potential
Agriculture,PL,16766314.4955038,NO,Global Warming Potential
 -   ,PL,777667052.815442,NO,Global Warming Potential
Food products,PL,88945760.3430782,NO,Global Warming Potential
Hotels and restaurants,PL,32650494.5969799,NO,Global Warming Potential
Education and health,PL,67484822.060646,NO,Global Warming Potential
Food waste,PL,2001842.1000289,NO,Global Warming Potential
Agriculture,PT,4668264.8461666,NO,Global Warming Potential
 -   ,PT,154958239.175148,NO,Global Warming Potential
Food products,PT,10344690.5748156,NO,Global Warming Potential
Hotels and restaurants,PT,20847814.080183,NO,Global Warming Potential
Education and health,PT,15010852.5438785,NO,Global Warming Potential
Food waste,PT,412452.206884598,NO,Global Warming Potential
Agriculture,RO,1303926.51981601,NO,Global Warming Potential
 -   ,RO,264057715.702627,NO,Global Warming Potential
Food products,RO,5746326.97947785,NO,Global Warming Potential
Hotels and restaurants,RO,3066695.88735617,NO,Global Warming Potential
Education and health,RO,9998308.55742933,NO,Global Warming Potential
Food waste,RO,128406.426493226,NO,Global Warming Potential
Agriculture,SE,20578871.2992633,NO,Global Warming Potential
 -   ,SE,787492441.418451,NO,Global Warming Potential
Food products,SE,109320412.960359,NO,Global Warming Potential
Hotels and restaurants,SE,18655793.7098245,NO,Global Warming Potential
Education and health,SE,63144285.8530461,NO,Global Warming Potential
Food waste,SE,2025856.84875321,NO,Global Warming Potential
Agriculture,SI,209104.619315468,NO,Global Warming Potential
 -   ,SI,49323160.3689324,NO,Global Warming Potential
Food products,SI,1883805.54634122,NO,Global Warming Potential
Hotels and restaurants,SI,4457839.95323012,NO,Global Warming Potential
Education and health,SI,4149865.81065139,NO,Global Warming Potential
Food waste,SI,37154.3838589176,NO,Global Warming Potential
Agriculture,SK,628643.309831489,NO,Global Warming Potential
 -   ,SK,90514601.2866365,NO,Global Warming Potential
Food products,SK,6359300.24529865,NO,Global Warming Potential
Hotels and restaurants,SK,6123114.12014622,NO,Global Warming Potential
Education and health,SK,8058090.66004022,NO,Global Warming Potential
Food waste,SK,192051.993608212,NO,Global Warming Potential
Agriculture,GB,9970127.80110101,NO,Global Warming Potential
 -   ,GB,942836047.993589,NO,Global Warming Potential
Food products,GB,111768587.962439,NO,Global Warming Potential
Hotels and restaurants,GB,24776059.8039085,NO,Global Warming Potential
Education and health,GB,91875691.563172,NO,Global Warming Potential
Food waste,GB,1206408.24949333,NO,Global Warming Potential
Agriculture,US,34544924.6962759,NO,Global Warming Potential
 -   ,US,2142424454.82808,NO,Global Warming Potential
Food products,US,167089765.034592,NO,Global Warming Potential
Hotels and restaurants,US,49766408.3365918,NO,Global Warming Potential
Education and health,US,246382480.227341,NO,Global Warming Potential
Food waste,US,3575967.43688295,NO,Global Warming Potential
Agriculture,JP,5805302.85141469,NO,Global Warming Potential
 -   ,JP,1047063136.14736,NO,Global Warming Potential
Food products,JP,24478041.2594906,NO,Global Warming Potential
Hotels and restaurants,JP,9683286.39048691,NO,Global Warming Potential
Education and health,JP,98523126.5004941,NO,Global Warming Potential
Food waste,JP,1791099.31661133,NO,Global Warming Potential
Agriculture,CN,62276975.4487266,NO,Global Warming Potential
 -   ,CN,7721309464.77701,NO,Global Warming Potential
Food products,CN,218143088.190973,NO,Global Warming Potential
Hotels and restaurants,CN,97984387.9670225,NO,Global Warming Potential
Education and health,CN,662731406.321351,NO,Global Warming Potential
Food waste,CN,3358992.99372704,NO,Global Warming Potential
Agriculture,CA,10285965.3545218,NO,Global Warming Potential
 -   ,CA,555034108.133865,NO,Global Warming Potential
Food products,CA,59557238.8057765,NO,Global Warming Potential
Hotels and restaurants,CA,72874843.2683432,NO,Global Warming Potential
Education and health,CA,70991808.2639002,NO,Global Warming Potential
Food waste,CA,510370.144210314,NO,Global Warming Potential
Agriculture,KR,3632795.31295638,NO,Global Warming Potential
 -   ,KR,634624058.536397,NO,Global Warming Potential
Food products,KR,14909473.9457181,NO,Global Warming Potential
Hotels and restaurants,KR,19948384.4628306,NO,Global Warming Potential
Education and health,KR,39752283.8768473,NO,Global Warming Potential
Food waste,KR,244133.530229498,NO,Global Warming Potential
Agriculture,BR,97782425.6053409,NO,Global Warming Potential
 -   ,BR,529101639.32093,NO,Global Warming Potential
Food products,BR,92700603.3132207,NO,Global Warming Potential
Hotels and restaurants,BR,34073042.236453,NO,Global Warming Potential
Education and health,BR,87271081.4972251,NO,Global Warming Potential
Food waste,BR,199961.822940317,NO,Global Warming Potential
Agriculture,IN,39457374.6698336,NO,Global Warming Potential
 -   ,IN,1400590310.15512,NO,Global Warming Potential
Food products,IN,102408277.499537,NO,Global Warming Potential
Hotels and restaurants,IN,171174094.978446,NO,Global Warming Potential
Education and health,IN,178160622.044966,NO,Global Warming Potential
Food waste,IN,661951.930548426,NO,Global Warming Potential
Agriculture,MX,4399988.12024411,NO,Global Warming Potential
 -   ,MX,151716856.509389,NO,Global Warming Potential
Food products,MX,11647290.8337361,NO,Global Warming Potential
Hotels and restaurants,MX,8806381.44084887,NO,Global Warming Potential
Education and health,MX,20497799.2674975,NO,Global Warming Potential
Food waste,MX,144370.672646713,NO,Global Warming Potential
Agriculture,RU,39316589.8898443,NO,Global Warming Potential
 -   ,RU,2756970419.05118,NO,Global Warming Potential
Food products,RU,211072388.66419,NO,Global Warming Potential
Hotels and restaurants,RU,104690610.304623,NO,Global Warming Potential
Education and health,RU,263000306.646315,NO,Global Warming Potential
Food waste,RU,2610855.49205868,NO,Global Warming Potential
Agriculture,AU,9392785.61024305,NO,Global Warming Potential
 -   ,AU,386203834.760016,NO,Global Warming Potential
Food products,AU,29075961.96483,NO,Global Warming Potential
Hotels and restaurants,AU,65653273.4612166,NO,Global Warming Potential
Education and health,AU,67437919.9511616,NO,Global Warming Potential
Food waste,AU,667235.012578473,NO,Global Warming Potential
Agriculture,CH,637894.537207591,NO,Global Warming Potential
 -   ,CH,91697509.2106706,NO,Global Warming Potential
Food products,CH,12468674.9648457,NO,Global Warming Potential
Hotels and restaurants,CH,8854651.66125672,NO,Global Warming Potential
Education and health,CH,11008320.6123955,NO,Global Warming Potential
Food waste,CH,251465.423607632,NO,Global Warming Potential
Agriculture,TR,6818241.2175082,NO,Global Warming Potential
 -   ,TR,276921275.047953,NO,Global Warming Potential
Food products,TR,16712407.0232531,NO,Global Warming Potential
Hotels and restaurants,TR,37898941.2416366,NO,Global Warming Potential
Education and health,TR,24097300.8153463,NO,Global Warming Potential
Food waste,TR,205983.629541902,NO,Global Warming Potential
Agriculture,TW,4091859.41790038,NO,Global Warming Potential
 -   ,TW,470203454.453868,NO,Global Warming Potential
